Team,G,PA,HR,R,RBI,SB,BBrate,Krate,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCplus,WAR,Year,Temp,roof_status,Wind,Ocean,Direction,Deepest,turf_status,Elevation Above Sea Level (ft),Average Humidity,Average Summer Temperature (degrees F),fair_area,foul_area
NYY,2061,6311,205,871,833,99,10.0%,16.0%,0.17300000000000001,0.304,0.27699999999999997,0.354,0.45,0.35,105,20.6,2000,73.7,0,9.4,20,east,408.0,0.0,54.0,63%,83.0,128.9,21.0
TOR,1871,6326,244,861,826,89,8.3%,16.2%,0.19399999999999998,0.297,0.275,0.341,0.469,0.35,101,20.6,2000,70.0,2,9.6,339,north,400.0,1.0,282.0,61%,77.0,109.5,29.0
DET,1938,6343,177,823,785,83,8.9%,15.5%,0.163,0.303,0.275,0.34299999999999997,0.43799999999999994,0.341,100,19.7,2000,70.2,0,9.7,454,south southeast,402.0,0.0,577.0,59%,80.0,113.7,26.5
KCR,1875,6394,150,879,831,121,8.0%,13.1%,0.138,0.312,0.28800000000000003,0.348,0.425,0.33799999999999997,89,17.1,2000,77.3,0,8.5,648,northeast,400.0,0.0,886.0,66%,87.0,118.5,22.9
BOS,2051,6371,167,792,755,43,9.6%,16.0%,0.156,0.297,0.267,0.341,0.423,0.33399999999999996,92,16.4,2000,69.4,0,10.9,5,northeast,420.0,0.0,20.0,57%,80.0,105.5,18.1
CHC,2269,6397,183,764,722,93,9.9%,17.5%,0.155,0.28800000000000003,0.256,0.335,0.41100000000000003,0.327,89,15.7,2000,68.3,0,10.2,684,north northeast,400.0,0.0,135.0,71%,82.0,107.8,18.6
ARI,2103,6241,179,792,756,97,8.6%,15.6%,0.16399999999999998,0.29,0.265,0.33299999999999996,0.429,0.332,88,15.6,2000,81.1,2,8.1,372,north,413.0,0.0,1082.0,37%,102.0,114.2,25.5
COL,2221,6453,161,968,905,131,9.3%,14.1%,0.161,0.322,0.294,0.36200000000000004,0.455,0.353,82,15.5,2000,73.7,0,6.5,947,north,424.0,0.0,5183.0,37.00%,86.0,119.2,24.9
SDP,2169,6291,157,752,714,131,9.6%,18.7%,0.14800000000000002,0.294,0.254,0.33,0.402,0.321,91,15.3,2000,71.5,0,8.5,2,north,411.0,0.0,16.0,76%,74.0,106.9,28.9
BAL,1901,6238,184,794,750,126,8.9%,14.4%,0.163,0.293,0.272,0.341,0.435,0.33799999999999997,98,15.3,2000,75.3,0,4.2,59,northeast,410.0,0.0,130.0,75%,87.0,108.1,23.6
MIA,2213,6203,160,731,691,168,8.7%,19.1%,0.147,0.304,0.262,0.331,0.409,0.324,89,14.5,2000,76.3,0,11.0,1,east,420.0,0.0,3.0,61%,87.0,108.9,24.0
PHI,1954,6273,144,708,668,102,9.7%,17.8%,0.14800000000000002,0.29,0.251,0.32899999999999996,0.4,0.32,83,11.8,2000,75.5,0,9.6,57,east northeast,408.0,1.0,9.0,55%,87.0,109.0,27.8
MIL,2207,6355,177,740,708,72,9.8%,19.6%,0.158,0.284,0.24600000000000002,0.325,0.40299999999999997,0.319,82,11.7,2000,73.6,0,10.1,732,southeast,402.0,0.0,593.0,72%,75.0,111.4,29.5
PIT,2202,6369,168,793,749,86,8.9%,16.2%,0.157,0.299,0.267,0.33899999999999997,0.424,0.33299999999999996,91,10.6,2000,73.4,0,8.0,305,southeast,400.0,1.0,743.0,58%,81.0,111.8,27.3
TEX,1874,6364,173,848,806,69,9.1%,14.5%,0.163,0.31,0.28300000000000003,0.35200000000000004,0.446,0.34700000000000003,97,10.2,2000,84.3,0,9.3,247,east southeast,407.0,0.0,616.0,64%,92.0,112.6,18.9
WSN,2328,6153,178,738,705,58,7.7%,17.0%,0.165,0.299,0.266,0.326,0.43200000000000005,0.327,87,8.3,2000,76.9,2,8.9,262,north,404.0,1.0,95.0,77.6%,77.6,112.5,27.5
TBR,1887,6206,162,733,692,90,9.0%,16.5%,0.142,0.287,0.257,0.32899999999999996,0.39899999999999997,0.321,83,7.4,2000,72.0,1,0.0,7,northeast,412.0,1.0,43.0,63%,90.0,108.9,25.3
